# Registers

CM_CLKEN_PLL                              0x48004D00 
CM_CLKSEL1_PLL                            0x48004D40 
CM_CLKSEL2_PLL                            0x48004D44 
CM_CLKSEL3_PLL                            0x48004D48 
CM_IDLEST_CKGEN                           0x48004D20
CM_CLKSEL2_PLL_IVA2                       0x48004044
PRM_CLKSRC_CTRL                           0x48307270
PRM_CLKSEL		                            0x48306D40 
DEV_CONFIG_1                              0x480022D8
DEV_CONFIG_0                              0x48002274
GPIO1_MODULE_BA                           0x48310000
GPIO2_MODULE_BA                           0x49050000
GPIO3_MODULE_BA                           0x49052000
GPIO4_MODULE_BA                           0x49054000
GPIO5_MODULE_BA                           0x49056000
GPIO6_MODULE_BA                           0x49058000
CM_CLKOUT_CTRL                            0x48004D70
CM_CLKEN_PLL_MPU                          0x48004904
CM_IDLEST_PLL_MPU                         0x48004924
CM_AUTOIDLE_PLL_MPU                       0x48004934
CM_CLKSEL1_PLL_MPU                        0x48004940
CM_CLKSEL2_PLL_MPU                        0x48004944
CM_CLKSTCTRL_MPU                          0x48004948
CM_CLKSTST_MPU                            0x4800494C
CM_FCLKEN1_CORE                           0x48004A00
CM_FCLKEN3_CORE                           0x48004A08
CM_ICLKEN1_CORE                           0x48004A10
CM_ICLKEN2_CORE                           0x48004A14
CM_ICLKEN3_CORE                           0x48004A18
CM_IDLEST1_CORE                           0x48004A20
CM_IDLEST2_CORE                           0x48004A24
CM_AUTOIDLE1_CORE                         0x48004A30
CM_AUTOIDLE2_CORE                         0x48004A34
CM_CLKSEL_CORE                            0x48004A40
CM_CLKSTCTRL_CORE                         0x48004A48
CM_CLKSTST_CORE                           0x48004A4C
CM_FCLKEN_DSS                             0x48004E00
CM_ICLKEN_DSS                             0x48004E10
CM_IDLEST_DSS                             0x48004E20
CM_AUTOIDLE_DSS                           0x48004E30
CM_CLKSEL_DSS                             0x48004E40
CM_SLEEPDEP_DSS                           0x48004E44
CM_CLKSTCTRL_DSS                          0x48004E48
CM_CLKSTST_DSS                            0x48004E4C
CM_FCLKEN_CAM                             0x48004F00
CM_ICLKEN_CAM                             0x48004F10
CM_IDLEST_CAM                             0x48004F20
CM_AUTOIDLE_CAM                           0x48004F30
CM_CLKSEL_CAM                             0x48004F40
CM_SLEEPDEP_CAM                           0x48004F44
CM_CLKSTCTRL_CAM                          0x48004F48
CM_CLKSTST_CAM                            0x48004F4C
CM_FCLKEN_PER                             0x48005000
CM_ICLKEN_PER                             0x48005010
CM_IDLEST_PER                             0x48005020
CM_AUTOIDLE_PER                           0x48005030
CM_CLKSEL_PER                             0x48005040
CM_SLEEPDEP_PER                           0x48005044
CM_CLKSTCTRL_PER                          0x48005048
CM_CLKSTST_PER                            0x4800504C
CM_FCLKEN_WKUP                            0x48004C00
CM_ICLKEN_WKUP                            0x48004C10
CM_IDLEST_WKUP                            0x48004C20
CM_AUTOIDLE_WKUP                          0x48004C30
CM_CLKSEL_WKUP                            0x48004C40
CONTROL_PADCONF_GPMC_A2                   0x4800207C
CONTROL_PADCONF_GPMC_A2_HI                0x4800207E
CONTROL_PADCONF_GPMC_A4                   0x48002080
CONTROL_PADCONF_GPMC_A4_HI                0x48002082
CONTROL_PADCONF_GPMC_A6                   0x48002084
CONTROL_PADCONF_GPMC_A6_HI                0x48002086
CONTROL_PADCONF_GPMC_A8                   0x48002088
CONTROL_PADCONF_GPMC_A8_HI                0x4800208A
CONTROL_PADCONF_GPMC_A10                  0x4800208C
CONTROL_PADCONF_GPMC_A10_HI               0x4800208E
CONTROL_PADCONF_GPMC_D1                   0x48002090
CONTROL_PADCONF_GPMC_D1_HI                0x48002092
CONTROL_PADCONF_GPMC_D3                   0x48002094
CONTROL_PADCONF_GPMC_D3_HI                0x48002096
CONTROL_PADCONF_GPMC_D5                   0x48002098
CONTROL_PADCONF_GPMC_D5_HI                0x4800209A
CONTROL_PADCONF_GPMC_D7                   0x4800209C
CONTROL_PADCONF_GPMC_D7_HI                0x4800209E
CONTROL_PADCONF_GPMC_D9                   0x480020A0
CONTROL_PADCONF_GPMC_D9_HI                0x480020A2
CONTROL_PADCONF_GPMC_D11                  0x480020A4
CONTROL_PADCONF_GPMC_D11_HI               0x480020A6
CONTROL_PADCONF_GPMC_D13                  0x480020A8
CONTROL_PADCONF_GPMC_D13_HI               0x480020AA
CONTROL_PADCONF_GPMC_D15                  0x480020AC
CONTROL_PADCONF_GPMC_D15_HI               0x480020AE
CONTROL_PADCONF_GPMC_NCS1                 0x480020B0
CONTROL_PADCONF_GPMC_NCS1_HI              0x480020B2
CONTROL_PADCONF_GPMC_NCS3                 0x480020B4
CONTROL_PADCONF_GPMC_NCS3_HI              0x480020B6
CONTROL_PADCONF_GPMC_NCS5                 0x480020B8
CONTROL_PADCONF_GPMC_NCS5_HI              0x480020BA
CONTROL_PADCONF_GPMC_NCS7                 0x480020BC
CONTROL_PADCONF_GPMC_NCS7_HI              0x480020BE
CONTROL_PADCONF_GPMC_NADV_ALE             0x480020C0
CONTROL_PADCONF_GPMC_NADV_ALE_HI          0x480020C2
CONTROL_PADCONF_GPMC_NWE                  0x480020C4
CONTROL_PADCONF_GPMC_NWE_HI               0x480020C6
CONTROL_PADCONF_GPMC_NBE1                 0x480020C8
CONTROL_PADCONF_GPMC_NBE1_HI              0x480020CA
CONTROL_PADCONF_GPMC_WAIT0                0x480020CC
CONTROL_PADCONF_GPMC_WAIT0_HI             0x480020CE
CONTROL_PADCONF_GPMC_WAIT2                0x480020D0
CONTROL_PADCONF_GPMC_WAIT2_HI             0x480020D2
CONTROL_PADCONF_DSS_PCLK                  0x480020D4
CONTROL_PADCONF_DSS_PCLK_HI               0x480020D6
CONTROL_PADCONF_DSS_VSYNC                 0x480020D8
CONTROL_PADCONF_DSS_VSYNC_HI              0x480020DA
CONTROL_PADCONF_DSS_DATA0                 0x480020DC
CONTROL_PADCONF_DSS_DATA0_HI              0x480020DE
CONTROL_PADCONF_DSS_DATA2                 0x480020E0
CONTROL_PADCONF_DSS_DATA2_HI              0x480020E2
CONTROL_PADCONF_DSS_DATA4                 0x480020E4
